name,country,Population,revision_id,article_quality,Region,Region_Population
Pedro Mutinde,angola,36.7,1209539718.0,Start,MIDDLE AFRICA,202.0
José Ndele,angola,36.7,1154991360.0,Stub,MIDDLE AFRICA,202.0
Ana Paula Sacramento Neto,angola,36.7,1227909121.0,Stub,MIDDLE AFRICA,202.0
Daniel Ntongi-Nzinga,angola,36.7,1187961349.0,Stub,MIDDLE AFRICA,202.0
Paula Cristina Francisco Coelho,angola,36.7,1209410923.0,Stub,MIDDLE AFRICA,202.0
Pedro Pedalé,angola,36.7,1115715527.0,Stub,MIDDLE AFRICA,202.0
Elias Salupeto Pena,angola,36.7,1220287990.0,Start,MIDDLE AFRICA,202.0
Johnny Eduardo Pinnock,angola,36.7,1242307359.0,Stub,MIDDLE AFRICA,202.0
Santana André Pitra,angola,36.7,1165626399.0,Stub,MIDDLE AFRICA,202.0
Francisco Manuel Monteiro de Queiróz,angola,36.7,1250824530.0,Stub,MIDDLE AFRICA,202.0
José Aníbal Lopes Rocha,angola,36.7,1242307479.0,Stub,MIDDLE AFRICA,202.0
José da Rocha,angola,36.7,1153488959.0,Stub,MIDDLE AFRICA,202.0
Rosa Luís de Sousa Micolo,angola,36.7,1246271741.0,Stub,MIDDLE AFRICA,202.0
Luís Gomes Sambo,angola,36.7,1242306989.0,Start,MIDDLE AFRICA,202.0
Branca Manuel Espirito Santo,angola,36.7,1142474441.0,Stub,MIDDLE AFRICA,202.0
João Ernesto dos Santos,angola,36.7,1226309621.0,Stub,MIDDLE AFRICA,202.0
José Filomeno dos Santos,angola,36.7,1228399791.0,C,MIDDLE AFRICA,202.0
Jonas Savimbi,angola,36.7,1246026420.0,GA,MIDDLE AFRICA,202.0
Pinda Simão,angola,36.7,1118804168.0,Stub,MIDDLE AFRICA,202.0
Manuel Bernardo de Sousa,angola,36.7,1233607984.0,Stub,MIDDLE AFRICA,202.0
Augusto da Silva Tomás,angola,36.7,1219179734.0,Stub,MIDDLE AFRICA,202.0
José Jacinto Van-Dúnem,angola,36.7,1242841039.0,C,MIDDLE AFRICA,202.0
José Vieira Dias Van-Dúnem,angola,36.7,1227004140.0,Stub,MIDDLE AFRICA,202.0
Luzia Inglês Van-Dúnem,angola,36.7,1240720719.0,Start,MIDDLE AFRICA,202.0
Manuel Vicente,angola,36.7,1250493481.0,C,MIDDLE AFRICA,202.0
Mfulupinga Nlando Victor,angola,36.7,1243272129.0,Start,MIDDLE AFRICA,202.0
Clement Antonio,antigua and barbuda,0.1,1241563106.0,Stub,CARIBBEAN,44.0
Randolph Beazer,antigua and barbuda,0.1,1247631912.0,Stub,CARIBBEAN,44.0
Studiation Brown,antigua and barbuda,0.1,825090349.0,Stub,CARIBBEAN,44.0
Alex Browne (politician),antigua and barbuda,0.1,1247631794.0,Stub,CARIBBEAN,44.0
Colin O'Neil Browne,antigua and barbuda,0.1,1241563118.0,Stub,CARIBBEAN,44.0
James Carlisle,antigua and barbuda,0.1,1242152285.0,C,CARIBBEAN,44.0
