title,page_id,lastrevid,talkid,length,url,watched,watchers
Chatin Sarachi,9088115,1141930406,11377585,8586.0,https://en.wikipedia.org/wiki/Chatin_Sarachi,,
Nebi Sefa,19887761,1244486537,26930125,1011.0,https://en.wikipedia.org/wiki/Nebi_Sefa,,
Eduard Shalsi,31573475,1173107489,67300005,5771.0,https://en.wikipedia.org/wiki/Eduard_Shalsi,,
Ylli Vesel Shehu,54102033,1250811470,54103913,1640.0,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,,
Athanas Shundi,68783046,1220369492,68783110,10066.0,https://en.wikipedia.org/wiki/Athanas_Shundi,,
Xhelal Sveçla,71208531,1217259369,71209197,4299.0,https://en.wikipedia.org/wiki/Xhelal_Sve%C3%A7la,,
Mehmet Tahsini,28382311,1239924043,28382312,1017.0,https://en.wikipedia.org/wiki/Mehmet_Tahsini,,
Ibrahim Temo,27611512,1228151428,27631327,19117.0,https://en.wikipedia.org/wiki/Ibrahim_Temo,,
Afrim Tole,63869149,1241836925,63932481,3853.0,https://en.wikipedia.org/wiki/Afrim_Tole,,
Syreja Vlora,19887929,1186986269,26930399,6304.0,https://en.wikipedia.org/wiki/Syreja_Vlora,,
Visarion Xhuvani,41653012,1135323365,41671199,11432.0,https://en.wikipedia.org/wiki/Visarion_Xhuvani,,
Visar Ymeri,31973610,1248230838,31973652,3536.0,https://en.wikipedia.org/wiki/Visar_Ymeri,,
Abdyl Ypi,61607609,1220281072,61657570,2687.0,https://en.wikipedia.org/wiki/Abdyl_Ypi,,
Xhezair Zaganjori,20381423,1143896123,23078920,4060.0,https://en.wikipedia.org/wiki/Xhezair_Zaganjori,,
Menduh Zavalani,55668009,1235824554,55668117,47411.0,https://en.wikipedia.org/wiki/Menduh_Zavalani,,
Abdelkader Zoukh,76780000,1250270534,76818135,9501.0,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,,
Chaâbane Aït Abderrahim,77299043,1234096174,None,3885.0,https://en.wikipedia.org/wiki/Cha%C3%A2bane_A%C3%AFt_Abderrahim,,
Ali Aoun,72041110,1214835889,72041173,4029.0,https://en.wikipedia.org/wiki/Ali_Aoun,,
Basma Azouar,72004407,1192088820,72054362,1871.0,https://en.wikipedia.org/wiki/Basma_Azouar,,
Mohamed Seghir Babes,59079383,1226280389,59079395,790.0,https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes,,
Noureddine Bahbouh,59012695,1099284595,59012710,1102.0,https://en.wikipedia.org/wiki/Noureddine_Bahbouh,,
Lamine Bechichi,59103836,1111537825,59103840,1481.0,https://en.wikipedia.org/wiki/Lamine_Bechichi,,
Aïssa Bekkai,72217382,1219685755,72218347,1589.0,https://en.wikipedia.org/wiki/A%C3%AFssa_Bekkai,,
Abdelhakim Belabed,71926293,1218173615,71926591,3100.0,https://en.wikipedia.org/wiki/Abdelhakim_Belabed,,
Mohamed Tarek Belaribi,71965500,1241671793,71965998,3090.0,https://en.wikipedia.org/wiki/Mohamed_Tarek_Belaribi,,
Kamel Beldjoud,63374819,1214832676,63377524,3666.0,https://en.wikipedia.org/wiki/Kamel_Beldjoud,,
Aboubakr Belkaid,73468106,1176411375,73468401,3763.0,https://en.wikipedia.org/wiki/Aboubakr_Belkaid,,
Youcef Belmehdi,71926181,1239235131,71926613,2075.0,https://en.wikipedia.org/wiki/Youcef_Belmehdi,,
Mohamed Cherif Belmihoub,77002608,1226553342,77003017,3760.0,https://en.wikipedia.org/wiki/Mohamed_Cherif_Belmihoub,,
Mohamed Belouizdad,54516484,1169278443,54516485,1992.0,https://en.wikipedia.org/wiki/Mohamed_Belouizdad,,
Benaouda Hadj Hacène Bachterzi,54801060,1237478919,64061836,1544.0,https://en.wikipedia.org/wiki/Benaouda_Hadj_Hac%C3%A8ne_Bachterzi,,
Souad Bendjaballah,55843103,1134649751,55847590,2807.0,https://en.wikipedia.org/wiki/Souad_Bendjaballah,,
Abdelkrim Benmbarek,76446110,1245801726,76453375,3034.0,https://en.wikipedia.org/wiki/Abdelkrim_Benmbarek,,
Mohamed Bensalam,59103577,1235672021,59103584,1109.0,https://en.wikipedia.org/wiki/Mohamed_Bensalam,,
Fayçal Bentaleb,73464226,1217131488,73465727,2625.0,https://en.wikipedia.org/wiki/Fay%C3%A7al_Bentaleb,,
Ahmed Bidani,73393142,1212186965,73399371,2982.0,https://en.wikipedia.org/wiki/Ahmed_Bidani,,
Kamel Bidari,71816968,1249963763,71819535,23202.0,https://en.wikipedia.org/wiki/Kamel_Bidari,,
Rachid Bladehane,72391597,1186319378,72392008,2393.0,https://en.wikipedia.org/wiki/Rachid_Bladehane,,
Saïd Boualam,19132132,1240883461,20466752,3261.0,https://en.wikipedia.org/wiki/Sa%C3%AFd_Boualam,,
Rabah Bouaziz,77147712,1232492563,None,3006.0,https://en.wikipedia.org/wiki/Rabah_Bouaziz,,
Abdeslam Bouchouareb,50042323,1203569345,50042337,5005.0,https://en.wikipedia.org/wiki/Abdeslam_Bouchouareb,,
Ibrahim Boughali,69357237,1230623499,69357875,2850.0,https://en.wikipedia.org/wiki/Ibrahim_Boughali,,
Yahia Boukhari,72480952,1186319308,72497887,1292.0,https://en.wikipedia.org/wiki/Yahia_Boukhari,,
Mohamed Bouslimani,71984080,1224118485,71997087,1802.0,https://en.wikipedia.org/wiki/Mohamed_Bouslimani,,
Foued Chehat,72225113,1242037866,72225137,1648.0,https://en.wikipedia.org/wiki/Foued_Chehat,,
Hamza Al Sid Cheikh,72374662,1248318178,72380258,1402.0,https://en.wikipedia.org/wiki/Hamza_Al_Sid_Cheikh,,
Hocine Cherhabil,71936152,1242619010,71996970,2644.0,https://en.wikipedia.org/wiki/Hocine_Cherhabil,,
Abderrahmane Meziane Chérif,76412962,1220757834,76485355,4961.0,https://en.wikipedia.org/wiki/Abderrahmane_Meziane_Ch%C3%A9rif,,
Saïd Chibane,72426997,1230435685,72426999,2530.0,https://en.wikipedia.org/wiki/Sa%C3%AFd_Chibane,,
Brahim Chibout,59054253,1053460621,59054259,1389.0,https://en.wikipedia.org/wiki/Brahim_Chibout,,
Youcef Chorfa,72050160,1214834266,72050332,4366.0,https://en.wikipedia.org/wiki/Youcef_Chorfa,,
